X9	X27	X26	X19	X41	X35	X5	X23	X18	X36	X46	X3	X12	X43	X32	X6	X25	X37	X47	X16	X34	X1	X44	X2	X13	X22	X39	X17	X50	X28	X31	X20	X45	X7	X11	X33	X29	X40	X4	X14	X42	X15	X24	X10	X21	X30	X38	X48	X8	X49
-0.999780	-0.243456	1.414748	0.206665	1.634653	1.124844	1.395462	-3.004244	1.276410	-0.465912	0.763648	-0.807777	1.268763	0.967073	-0.805301	0.239640	1.716315	-1.787802	1.353093	-1.364171	1.259123	0.897820	1.909301	-0.725465	-0.750822	-0.982224	1.008327	2.706483	0.596893	-2.363347	0.073777	-0.100104	-2.128775	2.758958	-0.920563	0.627418	-0.012415	0.548903	1.462354	0.868558	0.505103	3.278035	-2.074535	1.083969	2.923268	1.426706	-1.165515	-2.326090	0.641970	0.730477
-0.797751	-2.128093	-1.252562	-0.342048	0.260376	0.656213	0.740062	-0.957455	-0.093390	-1.816516	-0.254217	-0.854989	-0.117406	0.719838	-0.015518	0.185698	0.885240	-1.689784	1.132957	0.402073	-1.060462	-1.073474	1.024678	-1.952236	0.328915	0.118745	-0.916589	0.262205	-0.123426	-2.800402	2.013864	1.001066	-1.035986	0.438752	0.511929	-1.474081	0.668634	-1.881077	0.236698	2.073920	-1.890751	1.425213	-1.191887	1.072765	0.758761	0.011594	-0.599389	-0.867828	-1.983679	0.642679
-1.698734	3.397056	0.296889	1.505538	-0.432297	1.581520	1.879485	-4.077075	-0.527834	-1.809837	2.004836	-1.364699	-0.915601	0.856469	0.494833	1.156293	2.538919	0.943095	3.202742	-0.429776	-0.408008	0.331410	0.986335	0.822003	1.407733	-2.693239	0.784837	0.990882	-0.632778	-1.244901	0.656101	1.784976	-2.437608	2.712828	1.528718	0.871225	1.960732	-2.356494	1.158300	2.748926	-0.074884	2.500296	0.174737	2.576940	2.493691	0.205468	-0.656152	-2.432115	-0.217658	2.176426
-1.394114	1.316489	-1.246106	-2.331743	-0.246299	-1.742939	2.423108	-1.920928	1.866587	-0.434989	1.359060	-1.737264	-0.553334	0.664986	0.453878	0.369489	0.338793	2.201073	0.931600	-0.928374	-2.724294	-0.524668	-0.695596	4.034714	0.367551	-0.825130	0.780753	-2.434949	0.656475	0.466715	-2.759684	-0.451500	-0.312453	-0.248806	3.033684	1.864451	-1.721994	0.523881	0.768037	2.571379	0.969727	0.525587	1.985561	-0.216731	2.017178	2.247607	-2.398843	1.853659	-1.249204	2.617457
1.906625	1.757068	1.162685	1.549873	0.494877	0.572933	0.847694	1.042523	0.803097	1.123042	0.142529	1.095274	-0.546685	-0.635720	0.825795	1.731598	0.146439	0.411291	2.029916	-0.314751	-1.627108	-0.630000	0.704669	-0.429752	0.952714	0.725716	-0.487482	1.481846	-0.851011	-0.471018	1.070150	-2.005892	0.934209	1.461155	0.307121	-0.291992	0.196435	0.556700	-1.333828	0.295518	0.697906	1.075571	-0.723618	0.594729	-0.378073	-0.311616	0.836552	2.107036	-1.234564	2.118784
1.757514	-1.072067	0.128718	-0.352727	2.555806	-0.325439	-0.284584	0.692190	0.919342	2.769508	0.884237	1.591352	0.594832	1.460649	-1.602686	-0.631318	-2.058486	1.912597	-2.969642	2.026863	0.485870	1.065444	-1.531037	1.523521	-1.032484	2.706098	-0.282978	1.602642	0.880140	-0.009004	-2.154232	2.067509	0.644500	-0.787957	-0.598587	1.811072	-1.373634	4.096381	0.851100	-2.175687	1.089077	0.719972	2.008643	-0.848178	0.419762	1.276152	-0.179222	0.692422	-0.469985	-0.496018
-0.868242	-2.521854	-0.083183	2.186768	-1.360005	-1.797381	0.266443	-0.643204	1.686221	-0.709454	0.028828	-0.369992	-1.353670	1.771045	0.110819	-1.109412	-2.132017	-1.884613	-1.532611	-0.855749	0.998066	-1.043426	-0.771761	-1.621518	-0.348737	0.835514	0.608530	-1.414556	0.607710	0.247290	1.052500	-2.526469	0.582647	-1.835840	-1.255444	-1.501715	-1.573350	1.252569	1.081957	1.038365	0.859383	-2.488073	-0.124507	-2.061002	1.361586	1.164075	0.065924	0.091599	0.180845	-0.203006
-1.361405	0.992440	1.631106	1.228567	0.689004	-1.183404	-2.488491	-3.288909	-1.416386	0.068998	-2.434712	-3.129035	2.185302	-1.441006	-2.435072	-2.375335	0.526761	-0.416261	-1.512401	-0.894619	3.310047	-1.332336	-0.241989	1.264182	-2.926743	0.982152	3.069054	1.011939	2.448123	0.047113	-0.609836	2.581453	-1.873034	0.351068	1.969627	0.293240	-1.378621	0.349923	0.432292	-1.867647	0.325374	-0.113922	0.239860	-2.354453	1.696771	-0.263421	-2.743167	-3.220678	1.876202	-2.330991
-2.305930	0.945838	-1.670659	-0.508412	2.770053	-0.454535	1.024022	-2.632687	0.019745	-0.460244	0.545356	-2.321892	-2.805798	-0.511009	1.405588	0.436607	1.579689	-1.688387	1.869807	-0.276697	-5.208885	-1.746749	-0.114315	-1.905826	1.402064	0.856787	-0.264820	1.265778	-0.198716	-2.126548	0.562312	-0.971918	-3.349792	-0.938696	-1.244871	-1.503140	-0.839312	2.219931	-0.703605	3.778112	-0.647837	0.644424	0.160697	0.420591	0.847332	-0.559103	-1.557528	0.471754	-3.957480	1.255270
-0.020217	-2.705743	0.673785	-0.485831	0.794332	1.035888	0.824415	-0.756857	0.844011	0.713724	-1.248857	-1.533817	1.844498	1.264425	-0.489978	-0.296182	-0.332013	0.348514	1.080838	-1.813822	0.165219	-0.055907	0.967710	-0.232947	-1.542271	2.744717	0.058246	-0.397145	1.313048	-2.850059	0.953421	0.603071	-1.163072	-0.871533	1.452390	0.316423	0.032809	3.496979	0.581429	0.868145	-0.459418	-1.117185	0.791741	-1.048909	0.200999	2.097478	-2.002451	-0.348635	-0.270846	-0.031124
-2.282635	2.344854	-3.018543	-0.020350	-1.108495	2.306725	2.077846	-1.421440	1.343389	-0.637504	-0.421372	-1.540413	1.020960	-1.133703	-0.465657	0.782351	1.572239	-0.803971	3.316106	-1.055478	0.001589	-1.008639	0.868506	-0.022495	0.092608	-0.241494	-0.270894	-0.643620	-0.434130	-0.618664	0.898435	-0.131805	-1.757080	1.925489	-1.204798	-0.171959	1.753263	-0.375734	-0.633636	1.147488	-1.768052	1.708826	-0.349525	1.399750	-0.353219	-0.114927	-1.633041	-1.076097	-0.584430	1.747165
0.666056	-0.681727	-1.324515	0.767915	1.131165	0.915737	-1.356181	0.188232	-1.975028	1.271555	-0.599523	1.477591	1.302526	1.066658	0.178461	2.156711	-2.107666	0.790140	-0.359389	1.069062	2.360384	0.576441	-1.202172	0.770810	-0.420275	-0.468460	-0.038812	2.011096	-2.280132	-1.671732	-0.454280	0.215667	1.694728	-1.966253	0.254481	1.184453	0.680289	-1.142888	0.751797	-0.493646	0.667474	-0.934488	2.116793	-1.066738	-0.967834	-1.237484	1.316935	0.913977	2.346362	-0.937988
-1.007870	-0.307829	0.632747	-1.209127	-2.298845	-1.036762	-1.851407	1.768860	0.952289	0.612076	1.192086	0.210624	-0.121454	0.766116	0.017584	-2.986103	-1.628186	1.136889	-1.894414	-1.547476	1.927511	-0.339493	-1.094263	2.341636	-0.593111	-1.556811	1.463504	-0.976744	-0.346741	3.239614	-1.769885	0.042847	2.429513	-0.920489	2.073938	2.030908	-0.556614	-1.423994	0.658201	-1.986186	1.815336	-2.368049	0.687568	-2.578934	-0.940967	0.375890	-0.118144	1.006358	2.349763	-2.004724
-0.108119	-2.506062	-1.054797	-0.420471	-0.512140	0.516433	-0.920321	-2.669718	2.569193	0.928573	-0.070394	-0.463869	-1.205344	1.384748	-0.608325	-1.831760	-0.933823	1.013301	-0.757922	-1.616346	1.857929	-1.314828	0.630907	0.107514	1.085781	-0.073162	0.786722	2.245432	-1.064188	-1.042831	-0.185855	0.372777	0.527767	0.028952	2.222083	0.904207	0.645707	0.567963	0.861555	-0.775939	0.099977	1.130429	-0.171203	-0.835081	3.095987	2.329019	-2.343343	-1.661355	-0.094732	0.039876
2.029187	-1.295300	-1.096335	-1.091468	1.072319	2.189846	-1.199561	1.572247	0.793519	-0.502317	2.273713	2.106092	-0.767924	0.753153	0.826391	1.657711	-1.463452	-3.043586	1.028281	0.931509	-0.714621	0.808215	1.987006	-3.567315	1.124035	0.886774	-2.678244	-1.200715	-1.664309	-1.463908	1.342425	-2.111762	1.703320	-1.742278	-2.797115	-3.396920	1.739156	0.509432	-0.377572	-1.367536	-3.391536	1.197019	-1.330754	-0.558497	-0.259807	0.858316	1.122008	0.678771	-1.869789	0.018523
0.854904	-1.018549	-2.027212	-1.400016	-1.034176	-0.802118	3.270058	1.970495	1.181507	-1.496015	-2.002533	0.808438	1.151932	-0.188254	0.589701	-0.792790	-0.621621	-0.358468	-1.385568	0.067526	1.018395	1.392647	1.680150	-1.793987	0.438031	-1.262566	-0.262201	-0.159256	1.358478	0.633878	1.919939	-0.375017	2.311153	-0.363231	-2.118249	-2.483708	-0.521952	-0.977052	-1.651455	2.952581	-2.372556	-1.817137	-0.297952	-1.751288	-1.669319	0.214589	1.946844	0.109026	1.801341	-0.414949
0.896218	1.131387	1.290000	0.630537	-0.027835	-1.261996	0.634142	1.034122	1.079478	-0.164366	0.199248	0.537680	1.146391	0.680071	0.723764	4.142408	2.477963	-0.715297	0.966605	0.682587	0.375663	-0.515820	0.394252	-0.222609	0.384641	-2.048288	0.140981	0.134147	1.349231	-0.652444	0.130474	-1.099256	1.755453	2.411536	-2.771953	-0.545998	-1.858774	-1.285461	1.385854	1.251586	0.649936	1.882691	0.018402	3.270556	-1.368862	-2.028839	0.642799	0.129028	1.436367	1.601767
0.158425	-0.256990	-0.598697	2.023877	0.256603	-0.924122	-0.212172	1.255669	1.177241	1.021297	-1.136693	0.558809	0.194160	-2.178914	-0.919826	-1.464697	0.001766	-0.984996	-0.133844	2.081786	1.612437	0.712891	0.711479	0.931827	0.389638	-1.062135	0.810955	1.355557	2.025364	-1.041572	-1.235150	-0.103978	1.047041	0.304275	0.273504	1.085500	-1.029772	-0.482820	-2.188144	-1.411589	1.507640	1.659233	1.916142	-0.559901	-0.523502	0.319642	0.974228	-0.058325	1.711870	0.275664
1.537421	1.183562	-0.355008	-1.179290	3.536033	0.207641	0.193898	3.348432	-0.955190	0.258188	-2.741717	0.663365	0.851932	-1.718939	1.054474	3.952919	1.604839	-2.989061	1.270756	0.478861	-0.695793	0.437627	0.716616	-2.742322	-0.606500	-1.222688	-1.315332	-1.358460	0.151754	-0.647460	1.752890	-0.944513	1.903118	0.639676	-3.674924	-2.961504	1.056542	1.167018	-3.066213	-1.331253	-2.057943	1.795600	-2.508657	2.417235	-2.384068	-3.117568	1.734680	1.864136	-0.126194	0.830861
3.560301	-1.645034	0.233542	-1.129558	-2.898224	1.238394	2.353375	2.708225	-1.283213	4.533346	0.729913	3.200636	-0.666024	1.340107	0.882209	-0.250411	-2.202736	1.774646	-0.258610	1.255778	1.948654	1.414849	-1.733084	2.843166	1.555136	-3.626053	-1.666330	0.569199	-2.089346	1.080142	-1.416333	0.030744	5.063831	-0.615426	0.365149	4.138266	0.155767	-2.972891	1.140612	0.515556	2.101942	-0.799425	2.507893	-0.575103	-0.435062	-1.430266	1.371603	3.097569	2.510862	0.889353
0.088300	1.621753	1.863758	-1.196476	-0.870969	-1.472270	-1.056781	1.170708	0.635492	-0.257528	1.217254	-0.653350	-1.573007	0.884406	1.742733	-0.229013	2.275535	1.035194	2.825070	-0.706910	-5.112669	1.005787	1.101192	1.911951	1.922572	-1.314842	-2.040361	-0.189062	1.732304	0.407920	0.371405	0.089750	0.621124	1.552536	1.689155	0.577358	-1.470233	0.553981	-0.758521	-1.239776	0.600176	0.140493	0.637504	2.460517	-1.348877	-0.470657	0.465751	3.731683	-3.656025	3.893713
-1.579298	1.525087	-2.606425	-0.240322	-1.296460	0.889844	0.943077	0.657369	-0.629626	-0.872409	-1.770185	0.104700	1.651942	0.354719	-0.468562	-0.626624	-0.242581	-1.210655	0.855911	0.188271	0.438135	-1.695052	1.405791	-0.340817	-0.759941	-3.262041	0.674417	-0.957019	0.503282	0.535525	1.170799	0.264740	1.140207	-0.736038	-0.009390	-1.947840	1.390225	-3.167516	0.626577	1.661525	-2.306807	-0.216370	-0.790363	-0.649033	0.105543	-1.287660	-0.448916	-0.095277	0.651772	-0.030873
-1.316749	1.701215	0.580157	0.948791	2.642536	-0.084811	-0.315298	-0.641338	-0.653676	-0.738471	1.506117	-1.089248	-0.672493	-2.157631	0.625895	-0.472505	-0.426929	-1.603720	-0.966475	-2.499941	0.336838	-4.506044	-0.090848	-1.254253	-0.457556	-0.310948	1.565912	0.178077	0.738114	3.740882	0.773207	1.803915	-0.845270	-0.271073	-0.077905	-1.502403	0.674011	1.739063	-0.379049	3.554630	-0.616092	-1.608453	-1.051109	-0.937298	-1.164713	-2.856184	-1.154574	-2.023540	0.485065	-1.462101
-2.519803	1.702934	0.789661	-0.689797	1.499305	1.482934	0.700632	-4.232490	-3.027360	-1.875426	0.011301	-3.598675	0.593834	-0.658777	0.866056	0.118710	3.731471	-0.058320	0.094569	-2.134695	0.345801	-1.051394	1.253180	0.194861	-0.624039	-0.824059	2.370246	-0.411564	1.021819	2.077062	0.295977	1.527455	-1.719260	0.354258	2.036851	-0.174473	1.776084	-0.873503	-1.128973	2.363756	-0.851203	-0.602463	-0.499696	1.213269	1.465076	0.514137	-2.056400	-1.847691	0.755795	-0.382146
-1.670123	-0.706713	-0.217267	-2.206360	2.551577	-0.082092	3.355876	0.383116	-0.731366	-0.907374	2.020723	-0.447226	-1.065573	0.522341	-0.046659	0.791159	1.794125	0.408357	1.562327	0.747506	-2.231957	-0.918996	0.410879	0.218936	1.209353	3.166507	-0.622358	-2.055210	0.999508	-3.948357	-0.556691	0.510513	-2.756051	1.365240	0.810869	0.593248	-0.676360	3.848649	1.129772	3.236994	-0.207732	2.447413	1.185408	1.654049	-0.297563	-1.677676	-0.920320	-0.570598	-2.194322	1.910004
0.206771	-0.361946	-0.110503	0.453564	-3.101457	1.428703	-2.081693	0.566021	0.129492	1.025092	1.447524	-0.313650	-0.950064	-0.990685	0.079578	-1.456377	-0.766679	2.563223	-0.540460	0.744562	1.497747	-1.750588	-0.009983	2.396503	0.687356	-4.672712	-0.555112	0.823385	0.468931	-0.452258	-0.454563	1.621164	1.593883	-0.800121	2.062089	1.028797	2.422285	-4.484244	0.774690	0.029880	-0.394395	-2.059071	0.874951	-0.226553	-1.230083	-1.017061	-0.694369	0.346857	0.471650	-0.968982
1.603648	0.845624	-0.140481	-1.329687	-1.560857	0.671462	-1.014634	2.401262	0.979390	-0.270925	2.296765	2.642962	-2.452838	-0.309095	1.662686	0.098129	0.087741	-1.226640	2.438641	-0.956252	-6.113539	1.472153	1.881535	-1.353270	1.898354	-1.912556	-3.000444	-0.112901	0.751165	0.461546	1.743845	0.076315	2.602194	0.019337	-1.470361	-0.721548	0.631149	-0.833288	-0.211156	-0.440340	-1.007151	-1.525432	-0.338174	0.815153	-0.476949	0.594949	2.003759	4.718178	-5.117419	3.276528
0.027806	1.296225	1.049619	0.047983	0.683715	0.901620	-0.150803	-0.858240	-1.524046	-1.280889	-0.360347	-0.485175	-0.041625	-0.460587	-1.273974	-1.279165	0.406670	-1.429274	0.781672	1.322837	1.590058	-0.772807	-0.759919	-1.216836	-0.647302	-1.074505	1.519130	-1.776526	-0.064375	-1.632551	-0.418697	-0.353207	0.488788	-0.848587	-0.187045	-0.854963	0.573525	-0.740427	-1.472770	-1.746451	0.209676	0.312523	-1.443250	-2.204460	-0.043468	-0.917689	-0.041017	-0.609761	0.593314	-0.704210
1.500426	0.580936	-1.015674	0.528909	1.595960	0.998220	0.280456	-0.289043	0.377223	1.263891	0.277945	1.399829	1.289842	0.869161	-0.445761	-0.848896	-0.661200	1.531791	-0.299395	-0.879460	2.265340	1.388528	0.098737	0.601636	-0.584285	1.597991	0.959906	2.172380	-1.727961	-1.620157	-1.809285	-0.786798	1.409227	0.088583	0.816871	0.542591	-1.091598	3.041149	0.976404	0.292423	0.095747	1.013769	1.006367	-1.524561	1.767609	1.482273	0.521918	-0.892080	2.207683	-0.127994
-2.781104	-0.871443	-2.187228	2.229475	0.412936	-1.237768	0.430022	-4.217339	0.583663	-3.891810	-1.655373	-3.753324	0.585784	0.482483	-0.885515	0.222815	-0.464049	-2.458809	-0.554844	-0.661893	0.758262	0.142225	-0.829660	-4.058162	-0.996462	0.705909	-0.031204	2.842904	-0.816479	-0.527365	0.465334	-0.273420	-3.585723	-1.355849	0.678242	-1.618540	-2.012811	0.145424	-0.045227	-1.118822	-0.015237	0.903121	-0.276741	-0.826262	-0.096295	3.475974	-2.087729	-3.489051	0.093848	-0.018317
1.871487	1.506719	1.395430	-1.445898	-0.563757	-0.892306	0.738712	0.763076	0.330819	0.611197	1.415956	0.829478	-2.285550	-0.117852	0.263957	-0.108511	-0.009483	0.011339	1.453273	-1.010174	-2.153304	0.512312	-0.854011	-1.106320	1.221741	-0.576510	-1.120971	-2.040574	0.687756	-0.134525	-1.003871	0.619615	2.161185	-1.262098	-1.665797	-0.802948	-1.156334	-1.618269	0.332834	0.306431	0.409288	-0.510702	-0.454170	-0.729558	1.523582	-0.623251	0.457796	2.665991	-1.293613	2.289696
1.834460	-0.442718	-1.026243	1.299316	0.777923	-0.460018	0.781162	1.107157	0.273051	1.936222	2.822019	1.759066	-1.691747	-0.926046	0.996842	-0.453975	-1.197493	-0.685371	1.696816	0.728457	-2.035056	0.245149	-1.424516	0.671577	2.301510	3.186469	-1.726622	0.699752	-0.250726	-0.116879	-1.602367	0.211315	-0.084465	-1.129313	-1.168900	-0.022489	-0.746543	2.920504	1.341585	1.122403	0.404907	-0.161260	-0.378499	-0.146459	0.335922	-1.992847	1.581472	1.174783	-2.358564	2.216448
0.084701	-2.567071	0.113578	2.177171	-1.330355	0.184077	1.962368	0.597362	1.050510	1.534177	-1.036779	0.792500	1.969010	3.087935	0.245628	-0.022092	-1.623328	2.022818	0.395436	0.616303	2.872144	0.321319	-1.139790	3.650701	-0.114987	1.474618	1.295214	0.709351	0.143964	-1.278949	-2.290531	0.320009	0.678464	-1.793526	1.071118	2.625239	0.134849	0.422590	1.276954	0.587941	1.623047	-2.164501	1.085883	-2.173944	1.467767	1.470399	0.718275	-0.510460	2.392807	0.364036
