Graph Nodes:
X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50

Graph Edges:
1. X1 --> X11
2. X10 --> X47
3. X11 --> X30
4. X11 --> X37
5. X11 --> X39
6. X12 --> X14
7. X12 --> X18
8. X12 --> X46
9. X12 --> X50
10. X13 --> X18
11. X13 --> X25
12. X13 --> X40
13. X14 --> X33
14. X14 --> X35
15. X14 --> X40
16. X14 --> X45
17. X15 --> X50
18. X16 --> X18
19. X17 --> X29
20. X17 --> X34
21. X17 --> X35
22. X17 --> X36
23. X18 --> X24
24. X18 --> X35
25. X19 --> X28
26. X19 --> X48
27. X2 --> X10
28. X2 --> X22
29. X2 --> X25
30. X2 --> X27
31. X2 --> X43
32. X20 --> X26
33. X22 --> X29
34. X22 --> X32
35. X22 --> X33
36. X22 --> X34
37. X22 --> X46
38. X22 --> X49
39. X23 --> X32
40. X24 --> X29
41. X25 --> X42
42. X25 --> X46
43. X26 --> X34
44. X26 --> X39
45. X26 --> X46
46. X27 --> X33
47. X27 --> X35
48. X27 --> X45
49. X28 --> X34
50. X28 --> X46
51. X29 --> X32
52. X29 --> X40
53. X29 --> X41
54. X29 --> X44
55. X3 --> X38
56. X3 --> X41
57. X30 --> X32
58. X30 --> X37
59. X30 --> X41
60. X30 --> X47
61. X30 --> X49
62. X33 --> X34
63. X33 --> X49
64. X34 --> X35
65. X34 --> X37
66. X35 --> X47
67. X35 --> X48
68. X4 --> X21
69. X4 --> X25
70. X4 --> X40
71. X4 --> X46
72. X4 --> X47
73. X4 --> X7
74. X4 --> X9
75. X40 --> X42
76. X40 --> X43
77. X41 --> X42
78. X41 --> X43
79. X42 --> X50
80. X43 --> X47
81. X45 --> X47
82. X48 --> X50
83. X5 --> X21
84. X5 --> X24
85. X5 --> X6
86. X6 --> X12
87. X6 --> X14
88. X6 --> X23
89. X6 --> X33
90. X6 --> X42
91. X7 --> X35
92. X8 --> X15
93. X8 --> X16
94. X8 --> X23
95. X8 --> X33
96. X8 --> X34
97. X9 --> X15
98. X9 --> X19
99. X9 --> X25
100. X9 --> X40

