X20	X98	X89	X93	X28	X96	X45	X30	X100	X25	X63	X49	X50	X41	X40	X53	X14	X52	X21	X61	X47	X19	X62	X82	X46	X69	X7	X22	X92	X32	X60	X57	X81	X74	X35	X11	X44	X59	X68	X80	X5	X56	X84	X4	X66	X97	X36	X10	X43	X85	X6	X48	X16	X24	X71	X31	X54	X70	X37	X77	X72	X78	X58	X79	X1	X87	X83	X38	X64	X17	X23	X42	X3	X94	X99	X90	X8	X76	X73	X91	X34	X39	X15	X86	X27	X29	X51	X75	X65	X12	X26	X18	X88	X67	X33	X55	X95	X13	X2	X9
-1.641839	2.615605	2.461550	-0.824948	-2.021616	-6.122185	-0.723818	0.950191	-1.149778	3.678907	1.023330	-0.184282	-0.197955	-1.996723	1.598997	0.378429	-0.792895	-2.122660	-0.297254	-2.229921	-3.683673	-0.666971	2.191209	1.853994	0.017121	-1.427282	-1.528467	-0.834707	4.757783	-2.648520	1.640053	0.424896	-4.091174	1.264928	0.604542	-0.704778	0.766374	1.004321	-2.298225	4.127889	0.017784	3.191146	-0.371905	-1.479827	-3.886107	-2.429389	-1.518076	0.127912	0.204209	-2.075234	-0.192741	-0.015425	1.520004	-2.270923	1.159137	0.026521	-1.009336	1.002345	-4.936039	-0.952646	0.848003	0.763744	2.867989	1.657914	0.559005	-1.074898	-1.696113	-1.687597	0.603835	0.626140	-2.574126	1.467737	-0.287156	-8.370443	7.701662	-0.995765	-1.996930	-3.050349	5.428530	2.459558	-2.013117	-1.463312	-1.794234	1.895983	0.777795	1.685893	-0.271418	1.911124	1.329742	1.176488	-1.580019	1.077905	-1.864327	0.581413	-3.843887	0.011689	-1.676726	-1.289879	0.385275	1.089265
-0.307270	6.332390	2.991563	-3.162711	0.310493	-4.125926	-0.771720	1.789985	-0.192086	-0.023887	-5.974666	0.867900	-0.849715	2.555048	-0.547085	-2.889603	2.447730	-0.848837	0.469882	-3.077203	-0.843672	-1.574763	0.025624	0.075173	0.683456	-0.466752	-1.004028	0.218481	0.466254	-4.940408	-3.888401	2.111974	-1.118185	-0.215469	2.000116	1.598887	2.475790	-0.989767	2.162160	-5.171536	-0.737659	-4.394627	0.330546	-2.414879	-0.515134	3.066335	0.426486	-0.238793	-0.422134	1.943819	0.531174	2.530075	-0.937699	-0.405816	-0.337052	-0.791520	1.317783	-0.575471	2.560625	-5.320905	1.658797	-3.682814	-1.441587	-4.817448	1.943167	1.695857	0.951744	3.491862	0.346248	-3.158917	-3.556402	-0.657998	1.624118	6.796134	-4.007530	6.930552	-1.721061	-3.098630	-3.410554	0.979792	-0.817141	-0.121578	5.091697	-0.826547	-3.302073	1.606238	0.949256	-6.962118	2.109355	-1.149952	-1.677198	3.109503	1.022791	-5.045013	-2.013336	0.525277	2.985529	4.008761	-3.958668	-0.366525
-1.704317	-2.613162	1.638817	0.695663	-0.713125	-1.550228	-4.000053	2.823346	0.685381	-2.209818	-2.501909	2.045371	2.061316	-3.510981	-0.788036	-3.955931	-2.378785	1.274635	-0.704810	1.860453	-2.694186	1.837254	-1.143972	0.627180	-8.590985	0.517447	0.221634	-1.694739	-0.478928	1.250847	-10.222525	-1.207668	-1.848457	-1.459679	-0.561234	0.103501	0.413781	-0.861897	0.801673	0.250689	-2.524740	-1.076324	4.116224	-4.734087	0.683561	2.842994	-2.005118	0.133891	-0.313532	1.435661	0.384525	-0.650454	-0.939297	-1.741866	-5.179871	0.561426	-3.468403	-1.383592	3.034182	5.198429	3.703566	1.143891	-1.885383	-2.494158	0.493443	1.996437	3.182789	-1.053268	-0.407689	1.923024	-2.463612	1.962267	1.612300	-3.272045	1.558585	4.067457	-2.665837	0.910970	-4.413451	2.327860	-2.752944	0.012762	0.874749	-4.714357	-1.992145	2.784569	-1.079119	1.000329	3.501556	-1.880635	-0.924702	-1.031227	6.095660	-0.747522	-3.784336	-1.514005	0.599814	-0.583786	-0.562735	1.116348
2.001729	-4.281973	0.794298	-0.207661	-3.148573	1.240193	-0.453233	2.425787	0.280151	-0.160639	-3.729468	0.103620	-1.242702	-0.431625	-2.227534	-1.462019	-0.900735	-1.856325	1.321235	0.813881	-0.961540	1.079046	0.806883	-2.346083	1.805043	0.907624	1.045683	2.368214	-1.894697	0.658795	0.809891	4.033683	2.126990	-1.667077	-1.392458	-0.539328	0.332967	2.029380	-2.290153	4.260828	-0.581420	-1.770017	-0.957852	-0.364588	2.352543	6.328655	-0.153303	-1.335799	1.866878	-3.704211	0.768959	2.607447	-2.261451	0.842483	0.833862	1.849666	-1.362496	-1.356570	0.444788	1.667669	-0.538658	-0.052107	0.795229	-4.734755	1.082251	-1.376202	0.927037	-1.449412	0.452786	-0.371898	3.013952	0.689593	0.594283	-0.460619	5.365408	0.659221	0.742388	-2.032417	2.344061	1.967842	-0.007602	0.050274	-2.298655	-3.070581	-3.069110	2.751387	1.511891	0.471802	5.464055	-1.268010	1.509266	-2.980767	0.032651	1.288958	3.107784	-1.131310	-1.420171	1.713347	-0.289505	-3.213593
-1.775811	2.846858	-3.399815	1.922422	-1.385375	0.038311	0.418953	0.820440	-0.336588	-0.706513	-6.692411	0.486860	-1.492804	-0.270111	0.178046	-0.042467	0.294591	0.001945	-0.056747	0.042641	-0.434848	-2.372907	-1.068671	0.433085	-2.561655	2.325417	-1.070861	2.546915	-0.081489	-0.705929	-3.220517	-2.783616	-1.011784	2.488482	1.188047	1.046395	1.293358	1.612988	3.732923	2.362909	0.451704	-5.573428	0.789208	-0.139645	-1.434436	-3.223618	-1.395466	0.649453	0.113220	-0.261337	-0.601774	-0.984854	-3.806522	-0.959142	-3.593558	-0.137968	1.155447	-3.648525	3.343078	7.167471	-0.367176	-0.124422	-1.813340	-0.683253	1.748516	-1.576948	4.649830	0.662393	-2.939402	-0.278458	-2.804729	-2.895628	-0.113937	-0.943164	2.568498	-1.238070	1.003508	-0.764101	-0.692790	3.320571	0.184295	0.932072	2.151769	-1.593912	-2.534560	-1.833000	-2.061359	-0.545948	0.904312	0.445161	-0.965840	0.050184	2.126946	-4.420635	-0.745907	-0.053129	-3.129219	4.728649	-2.033379	-1.421620
-0.460342	-3.513230	1.724168	-2.880869	1.507637	-1.401010	-0.570672	3.025426	-1.509561	0.302098	-7.016789	0.318015	-1.185492	-0.989844	-2.994307	1.724614	-1.569500	-0.808498	-1.433873	-3.687522	0.555527	2.476157	3.428897	-1.930559	2.109011	3.151549	0.260028	0.904737	0.059307	-2.079906	2.294588	0.472664	2.497305	-0.360717	1.744483	-1.856331	-2.127315	2.298825	2.089709	-6.189081	0.705316	-0.915561	1.732700	-0.174779	-1.214280	-1.855501	-0.263182	1.629621	-0.352458	3.224872	0.398631	-0.382376	0.265658	1.293821	1.684340	0.533037	0.570750	-0.915251	-0.430981	3.105046	-3.599988	-1.855622	-1.066229	0.371124	0.772671	2.824659	3.186451	1.485322	-3.044508	0.303793	-0.678103	0.326474	-1.375667	0.717753	1.528685	1.932387	1.533856	-2.874619	0.062952	-0.449747	0.306456	-0.509442	-0.835709	-4.969189	0.738316	4.527698	-0.397625	4.723878	0.349539	-0.879064	-1.266164	1.082859	0.312111	4.048712	-1.336717	-2.337923	-0.735256	-0.695727	-2.609720	0.193056
-0.854937	-1.595784	3.064200	-0.457498	0.610731	-4.554010	1.247003	1.155085	-3.748976	-1.232358	-5.571698	0.406752	0.166856	0.056304	1.205902	1.143864	0.951814	-0.167957	-2.330706	1.215018	1.998578	-2.262972	1.338819	-2.713085	-0.681956	5.629941	-3.475899	4.030539	3.493355	1.162559	3.880685	-0.625315	-2.980675	-0.000847	1.804044	-0.909988	3.490919	5.063712	-3.343491	1.490626	-1.687167	-0.083859	1.031918	0.700103	-3.759927	-1.257995	0.145289	0.870619	-0.360423	3.767515	0.501931	-0.848969	-1.593937	-0.277489	1.746258	2.916767	0.580993	1.126832	-0.341829	0.660804	3.024778	-0.383748	1.773776	-2.285038	-3.941114	-0.829894	-0.938622	-0.186978	-1.388547	3.552745	-4.003398	-1.804259	-0.961722	-0.205295	2.015749	2.754691	2.341117	-2.960718	-0.395388	2.476907	-0.707204	1.134134	0.938004	-0.669234	1.283556	2.178174	-0.464328	-0.229857	2.768077	-1.505886	0.341608	3.810697	0.342644	0.986632	-4.242116	-1.901806	-6.509694	-3.500300	2.414083	-1.848176
-1.910459	-0.675422	-1.679740	-0.511403	0.939051	-0.574023	2.570033	-1.894807	3.097458	-1.413817	0.295547	0.478259	1.552115	-2.352885	1.688710	-1.104493	0.759770	0.909740	-2.529342	-0.804871	0.442764	0.278137	0.193105	3.470445	-2.599849	-2.734240	0.829725	-2.718917	1.968257	1.306011	-2.939462	-4.625105	-2.590689	-2.716034	-2.419981	0.385613	-0.578535	-2.273445	-4.215586	2.081554	0.267435	0.147543	1.898266	2.601690	2.190479	-2.409677	0.470794	-1.454801	1.901040	1.787738	-1.307350	-2.918834	-0.084839	-1.471889	-0.711356	-1.830936	1.728465	0.134339	1.130420	-0.549450	-2.694150	-1.123477	3.668195	0.660352	0.725957	1.241538	0.836101	-0.272444	-3.794381	0.554722	-0.120343	-1.399101	-2.545145	-3.331558	0.398282	-3.796074	1.012860	-1.491844	-4.907694	-1.774473	3.246113	3.080728	-1.533332	3.883407	1.676520	-1.402555	-0.801994	4.869643	-1.929341	0.295471	-0.380785	-1.374231	1.074666	-2.305815	-0.538213	0.020265	2.201038	-0.665129	-1.222396	0.643845
-0.859459	-7.057211	-4.120371	3.804090	0.289545	3.119046	2.066436	-0.782640	2.568012	1.104919	6.220662	-4.072140	-0.301854	0.435028	2.106277	4.568584	2.684779	-4.683839	2.596854	3.115529	0.559333	-0.745692	-3.110056	-1.770244	5.853711	-2.310895	2.813311	0.157334	4.810359	1.118073	1.174908	-1.293028	-4.080364	-0.722089	-1.340573	1.884849	-1.183697	0.852826	-1.357405	0.745585	1.371229	4.199006	2.524606	2.201908	2.192291	-1.305396	2.043783	0.503008	2.890328	-0.310050	-1.093301	-2.086645	1.421073	-0.092890	1.675510	-0.527916	-1.764018	1.860982	-1.284655	-2.032531	2.635439	-0.884572	2.694729	5.158470	-0.101081	0.949971	-4.559935	1.542840	-2.147302	3.924646	0.266968	-1.157537	1.362166	-0.644064	0.597350	-7.710095	1.471017	0.313386	-0.941290	-2.494302	3.234207	1.654503	1.796781	4.347911	4.443056	-0.761344	1.806593	-2.262244	-6.274596	3.139972	1.202174	-2.450890	-3.689979	-0.364022	4.193098	-0.445671	1.845904	-4.456679	-0.466901	-0.234074
1.508604	5.384240	1.989328	0.258370	0.910503	-1.910049	-0.885183	-2.270158	2.299990	-1.042660	0.505613	1.743440	-2.854450	-0.647379	-2.235013	-1.476059	-0.620094	0.886937	0.546043	0.950560	1.547172	1.080933	-0.323599	1.489782	-1.393105	-3.228326	0.433662	-3.603839	1.823594	-2.473137	-3.678212	1.952174	0.936894	1.739824	-0.159970	1.205452	2.752404	-4.938265	3.385193	-4.681898	-1.391851	-0.578951	-0.472552	-2.881470	0.154534	-2.265432	-2.409407	0.481659	0.756375	10.013700	0.439927	2.474981	-0.361863	-0.200889	3.106153	-3.691133	-1.395395	-0.925613	1.102571	-4.501727	-4.295202	0.509390	-0.083893	0.425209	1.622059	3.079581	-0.818268	0.753507	0.634534	-0.378211	0.885728	-1.107982	-2.009465	5.645338	3.314331	0.859869	-0.263918	3.199597	-5.554197	0.249486	1.579306	0.167564	-2.332285	1.498632	-2.323766	-2.920035	-0.251308	4.849648	5.535064	-0.909032	-2.708938	-1.064105	2.168207	1.935232	0.647264	-0.151071	5.155526	1.291567	-1.656388	1.808965
